,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
577,ASUS,ROG,Intel,Core i7,10th,32.0,DDR4,1024,0,Windows,64,8,Casual,15.6,0,No,No,3054.87,4224.87,27,0.0,0,0
578,DELL,Vostro,Intel,Core i3,11th,4.0,DDR4,256,1024,Windows,64,0,ThinNlight,14.0,1,No,Yes,566.67,752.2189999999999,24,0.0,0,0
579,ASUS,Commercial,Intel,Core i3,10th,4.0,DDR4,256,0,Windows,32,0,Casual,14.0,0,No,No,519.87,623.87,16,0.0,0,0
580,HP,Spectre,Intel,Core i7,11th,16.0,LPDDR4X,1024,0,Windows,64,0,Casual,13.3,1,Yes,Yes,1670.5,1976.5459999999998,15,3.7,3,1
581,Lenovo,X390,Intel,Core i5,10th,8.0,DDR4,512,0,Windows,64,0,Casual,13.3,0,No,No,1476.6699999999998,1560.0,5,0.0,0,0
582,DELL,Vostro,Intel,Core i3,10th,4.0,DDR4,256,1024,Windows,64,0,ThinNlight,14.0,1,No,Yes,538.0699999999999,675.688,20,4.2,56,7
583,ASUS,Core,Intel,Core i3,10th,8.0,DDR4,0,1024,Windows,32,0,ThinNlight,14.0,0,No,No,462.66999999999996,597.87,22,3.4,12,1
584,Mi,Notebook,Intel,Core i5,10th,8.0,DDR4,512,0,Windows,64,2,Casual,14.0,1,No,No,714.87,779.987,8,4.3,545,74
585,ASUS,Core,Intel,Core i7,11th,8.0,DDR4,256,1024,Windows,32,0,ThinNlight,15.6,0,No,No,1072.5,1286.87,16,0.0,0,0
586,DELL,Inspiron,Intel,Core i5,11th,8.0,DDR4,256,0,Windows,64,0,ThinNlight,15.6,0,No,No,727.87,930.514,21,3.3,3,0
587,ASUS,VivoBook,Intel,Core i5,11th,8.0,LPDDR4X,512,0,Windows,64,0,Casual,14.0,1,Yes,Yes,961.87,1104.87,12,4.2,32,6
588,ASUS,Vivobook,Intel,Core i3,11th,8.0,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,583.5699999999999,740.987,21,3.9,7,0
589,Lenovo,Yoga,AMD,Ryzen 5,,16.0,LPDDR4X,1024,0,Windows,64,0,ThinNlight,13.3,3,Yes,Yes,1065.714,1600.1699999999998,33,0.0,0,0
590,ASUS,Zephyrus,AMD,Ryzen 7,,8.0,DDR4,1024,0,Windows,64,0,Casual,14.0,1,No,No,1443.0,1793.87,19,0.0,0,0
591,Lenovo,Yoga,Intel,Core i7,11th,16.0,DDR4,1024,0,Windows,64,0,Casual,14.0,1,Yes,Yes,1338.87,1352.4289999999999,1,4.4,16,2
592,Lenovo,Ideapad,Intel,Core i3,11th,8.0,DDR4,256,0,Windows,64,0,Casual,15.6,0,No,No,519.9739999999999,781.17,33,4.2,10,1
593,HP,Pavilion,Intel,Core i7,11th,16.0,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,1196.0,1469.2469999999998,18,4.5,8,1
594,HP,Pavilion,AMD,Ryzen 5,,8.0,DDR4,0,1024,Windows,64,4,Gaming,15.6,1,No,No,779.87,886.496,12,4.1,1480,151
595,LG,Gram,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,0,ThinNlight,16.0,0,No,No,1130.87,1690.0,33,0.0,0,0
596,HP,14s,Intel,Core i3,11th,8.0,DDR4,256,0,Windows,64,0,ThinNlight,14.0,1,No,Yes,552.37,596.596,7,4.4,5205,561
597,MSI,GF63,Intel,Core i5,10th,8.0,DDR4,0,1024,Windows,64,4,Casual,15.6,2,No,No,688.87,948.87,27,4.1,1114,137
598,HP,Core,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,793.0,884.0,10,4.3,1124,100
599,acer,Aspire,AMD,Ryzen 7,,8.0,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,779.87,1039.9869999999999,25,0.0,0,0
600,ASUS,ZenBook,Intel,Core i5,11th,8.0,LPDDR4X,512,0,Windows,64,0,Casual,14.0,1,Yes,No,1299.87,1598.87,18,4.9,35,6
601,ASUS,ROG,AMD,Ryzen 9,,32.0,LPDDR4X,1024,0,Windows,64,4,Casual,13.4,1,Yes,Yes,1624.87,2534.87,35,4.2,44,12
602,acer,Predator,Intel,Core i7,10th,16.0,DDR4,256,1024,Windows,64,6,Casual,15.6,1,No,No,1559.87,1832.87,14,4.6,2038,313
603,ASUS,ROG,AMD,Ryzen 7,,16.0,DDR5,512,0,Windows,32,4,Casual,15.6,1,No,No,1455.87,1728.87,15,0.0,0,0
604,Lenovo,ThinkPad,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,883.87,999.895,11,4.8,9,0
605,acer,Aspire,AMD,Ryzen 5,,8.0,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,649.87,844.87,23,4.5,6,1
606,HP,Ryzen,AMD,Ryzen 7,,16.0,DDR4,512,0,Windows,32,0,Casual,13.3,0,Yes,No,1417.0,1664.0,14,0.0,0,0
607,DELL,G3,Intel,Core i5,10th,8.0,DDR4,256,1024,Windows,64,4,Casual,15.6,0,No,No,1012.6999999999999,1069.8999999999999,5,4.3,179,34
608,DELL,Inspiron,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,0,Casual,14.0,1,Yes,Yes,920.387,1164.3319999999999,20,4.7,98,6
609,HP,14s,AMD,Ryzen 5,,8.0,DDR4,512,0,Windows,64,0,ThinNlight,14.0,1,No,Yes,682.5,780.0,12,4.3,741,67
611,Lenovo,Core,Intel,Core i5,7th,4.0,DDR4,0,1024,Windows,32,2,Casual,14.0,0,No,No,753.987,1078.9869999999999,30,0.0,0,0
612,Lenovo,B50-70,Intel,Core i5,4th,8.0,DDR3,0,1024,Windows,64,0,Casual,15.6,0,No,No,682.37,0.0,0,3.8,78,17
613,ASUS,ZenBook,Intel,Core i7,11th,16.0,LPDDR4X,1024,0,Windows,64,0,Casual,14.0,1,Yes,No,1559.87,2066.87,24,4.8,8,1
614,Lenovo,Ideapad,Intel,Core i5,8th,4.0,DDR4,0,1024,Windows,64,4,Casual,15.6,1,No,No,740.87,813.722,8,4.0,21,5
615,Lenovo,ThinkPad,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,857.87,986.4269999999999,13,4.1,31,2
616,acer,Swift,Intel,Core i5,8th,8.0,DDR3,256,0,Windows,64,0,ThinNlight,14.0,1,Yes,Yes,1065.974,1076.387,0,4.0,14,3
617,ASUS,ROG,AMD,Ryzen 9,,16.0,DDR4,1024,0,Windows,64,6,Casual,15.6,0,No,No,1845.87,2469.87,25,4.2,61,13
618,ASUS,VivoBook,Intel,Core i5,8th,8.0,DDR4,512,0,Windows,64,0,ThinNlight,14.0,1,No,No,697.9699999999999,766.87,8,4.4,19,3
620,MSI,WF65,Intel,Core i7,10th,16.0,DDR4,256,1024,Windows,64,4,Casual,15.6,3,No,No,2079.87,2339.87,11,0.0,0,0
621,ASUS,Pentium,Intel,Pentium Quad,,4.0,DDR4,128,0,Windows,32,0,Casual,13.3,0,Yes,No,755.3,903.5,16,0.0,0,0
622,Vaio,E,AMD,Ryzen 5,,8.0,DDR4,512,0,Windows,64,0,ThinNlight,15.6,2,No,Yes,644.67,870.87,25,4.1,700,144
623,ASUS,Vivobook,AMD,Ryzen 9,,16.0,DDR4,1024,0,Windows,64,4,Casual,16.0,1,No,No,2118.87,0.0,0,0.0,0,0
624,MSI,Modern,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,0,ThinNlight,14.0,1,No,No,727.87,883.87,17,0.0,0,0
625,ASUS,Zephyrus,Intel,Core i9,11th,32.0,DDR4,3072,0,Windows,32,6,Casual,17.3,1,No,No,5745.87,0.0,0,5.0,1,1
626,ASUS,Vivobook,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,Yes,691.4699999999999,909.87,24,4.5,11,0
627,Lenovo,IdeaPad,Intel,Core i5,10th,8.0,DDR4,512,0,Windows,32,2,Casual,15.6,2,No,Yes,766.987,857.987,10,4.4,45,3
628,ASUS,F17,Intel,Core i5,11th,8.0,DDR4,1024,0,Windows,64,4,Casual,17.3,0,No,No,1098.5,1365.0,19,4.3,3,0
